Date,Wheat_Price (Dollars per Bushel),fertilizer_index,average_temperature (C),drought_index,cpi,commodity_import_index,commodity_export_index,Flour_Price,Corn_Price
1990-01-01,3.71,114.4,-1.2184741,15.3,127.5,92.5,95.2,0.253,105.900512695313
1990-02-01,3.56,120.1,-1.9653516,14.6,128.0,92.7,94.6,0.249,106.294166564941
1990-03-01,3.48,119.6,4.2221065,11.2,128.6,92.4,94.8,0.252,109.83731842041
1990-04-01,3.49,119.1,9.39166,8.0,128.9,91.6,95.1,0.251,118.498336791992
1990-05-01,3.4,115.8,13.738063,7.1,129.1,91.2,95.3,0.254,121.254096984863
1990-06-01,3.85,112.4,19.995775,7.3,129.9,90.8,95.1,0.259,120.073066711426
1990-07-01,2.79,113.1,21.674213,5.3,130.5,90.5,95.3,0.26,114.955192565918
1990-08-01,2.58,115.0,20.938868,3.5,131.6,93.3,95.4,0.255,109.83731842041
1990-09-01,2.46,121.4,17.300278,4.8,132.5,96.5,95.8,0.249,102.357360839844
1990-10-01,2.43,127.1,9.544056,3.7,133.4,99.3,96.6,0.244,99.9952697753906
1990-11-01,2.39,129.9,3.3824458,5.8,133.7,98.7,96.7,0.235,99.9952697753906
1990-12-01,2.4,130.5,-3.3944964,8.4,134.2,98.4,96.3,0.236,102.357360839844
1991-01-01,2.42,131.3,-3.900503,9.1,134.7,97.0,96.8,0.244,105.506813049316
1991-02-01,2.42,131.4,0.70492554,15.7,134.8,95.0,96.7,0.235,106.294166564941
1991-03-01,2.53,130.5,3.2735918,8.2,134.8,95.0,96.4,0.235,109.049957275391
1991-04-01,2.6,128.3,9.166041,3.8,135.1,94.2,96.6,0.237,110.231010437012
1991-05-01,2.65,126.0,14.9061985,1.8,135.6,94.0,96.4,0.235,105.735160827637
1991-06-01,3.08,123.6,19.369806,1.4,136.0,93.4,96.1,0.237,105.113136291504
1991-07-01,2.5,123.1,21.679047,1.4,136.2,92.8,95.7,0.239,105.72989654541
1991-08-01,2.63,124.3,20.82685,1.6,136.6,93.1,96.0,0.238,110.118812561035
1991-09-01,2.8,123.9,16.485437,5.3,137.0,93.3,95.6,0.232,108.853126525879
1991-10-01,3.07,125.0,10.215822,5.3,137.2,94.1,96.6,0.23,109.523323059082
1991-11-01,3.25,123.6,1.2905798,3.5,137.8,94.5,96.7,0.218,106.797866821289
1991-12-01,3.44,124.7,-1.2190018,4.0,138.2,94.3,95.7,0.223,106.720680236816
1992-01-01,3.54,123.6,-2.06289,5.1,138.3,94.0,95.7,0.241,109.586357116699
1992-02-01,3.78,122.9,0.31786585,6.9,138.6,94.0,96.3,0.244,113.921257019043
1992-03-01,3.72,122.1,3.8637214,9.0,139.1,93.9,96.2,0.239,116.684593200684
1992-04-01,3.65,122.0,8.704989,8.0,139.4,93.6,96.4,0.238,109.055137634277
1992-05-01,3.64,123.4,13.855601,12.6,139.7,94.0,96.7,0.245,109.177909851074
1992-06-01,2.55,123.7,18.505232,8.2,140.1,94.8,96.5,0.244,110.201927185059
1992-07-01,3.15,121.2,20.50942,5.5,140.5,95.3,96.6,0.252,102.394058227539
1992-08-01,3.01,118.5,19.4909,9.1,140.8,95.7,96.3,0.256,97.5399322509766
1992-09-01,3.2,119.2,15.337638,7.1,141.1,95.9,96.6,0.249,98.2166748046875
